,Europeana ID,Title,Year,Duration,Composer,DateOfBirth,DateOfDeath,Biography,Publisher,Place
0,2059210/data_sounds_http___archive_org_download_mickthomas2010_01_01_zoomh2_flac16_mickthomas2010_01_01t06_mp3,Selling the Cool Car For You,2012,237819,Mick Thomas,1960-02-07,,"Michael James Thomas (born 7 February 1960, Yallourn) is an Australian singer-songwriter, producer and guitarist. Thomas was the founding mainstay of a folk rock group, Weddings Parties Anything (1984–1998), and leader of Mick Thomas and the Sure Thing. He has also released material as a solo artist.",,Australia
1,9200369/webclient_DeliveryManager_pid_7649526_custom_att_2_simple_viewer,I vespri siciliani,2007,30000,Giuseppe Verdi,1813-10-10,1901-01-27,"Giuseppe Fortunino Francesco Verdi (9 or 10 October 1813 – 27 January 1901) was an Italian Romantic composer primarily known for his operas. He is considered, together with Richard Wagner, the preeminent opera composer of the nineteenth century. Verdi dominated the Italian opera scene after the eras of Bellini, Donizetti and Rossini. His works are frequently performed in opera houses throughout the world and, transcending the boundaries of the genre, some of his themes have long since taken root in popular culture, as ""La donna è mobile"" from Rigoletto, ""Libiamo ne' lieti calici"" (The Drinking Song) from La traviata, ""Va, pensiero"" (The Chorus of the Hebrew Slaves) from Nabucco, the ""Coro di zingari"" (Anvil Chorus) from Il trovatore and the ""Grand March"" from Aida.Moved by the death of compatriot Alessandro Manzoni, Verdi wrote Messa da Requiem in 1874 in Manzoni's honour, a work now regarded as a masterpiece of the oratorio tradition and a testimony to his capacity outside the field of opera. Visionary and politically engaged, he remains – alongside Garibaldi and Cavour – an emblematic figure of the reunification process of the Italian peninsula (the Risorgimento).",Testament,Britain
2,446/MIL0869097,Set me free : ten years after ,2010,30073,Max Iannantuono,,,,Edel,
3,496/MOD1575994,Sulla strada ,2009,30073,Massimo Priviero,,,,Universal Music,
4,9200369/webclient_DeliveryManager_pid_9796872_custom_att_2_simple_viewer,Verklarte Nacht op. 4 ; Pelleas und Melisande op.5,1998,30049,Arnold Schönberg,,,,Deutsche Grammophon,Berlin
5,446/MIL0882053,Messa da requiem ,2010,30073,Giuseppe Verdi,1813-10-10,1901-01-27,"Giuseppe Fortunino Francesco Verdi (9 or 10 October 1813 – 27 January 1901) was an Italian Romantic composer primarily known for his operas. He is considered, together with Richard Wagner, the preeminent opera composer of the nineteenth century. Verdi dominated the Italian opera scene after the eras of Bellini, Donizetti and Rossini. His works are frequently performed in opera houses throughout the world and, transcending the boundaries of the genre, some of his themes have long since taken root in popular culture, as ""La donna è mobile"" from Rigoletto, ""Libiamo ne' lieti calici"" (The Drinking Song) from La traviata, ""Va, pensiero"" (The Chorus of the Hebrew Slaves) from Nabucco, the ""Coro di zingari"" (Anvil Chorus) from Il trovatore and the ""Grand March"" from Aida.Moved by the death of compatriot Alessandro Manzoni, Verdi wrote Messa da Requiem in 1874 in Manzoni's honour, a work now regarded as a masterpiece of the oratorio tradition and a testimony to his capacity outside the field of opera. Visionary and politically engaged, he remains – alongside Garibaldi and Cavour – an emblematic figure of the reunification process of the Italian peninsula (the Risorgimento).",Sony Music Entertainment,
6,2059210/data_sounds_http___archive_org_download_kevnkinneyband2003_09_22_flac16_kevnkinneyband2003_09_22t09_mp3,90 MPH In A 30 Mile Zone,2011,195918,Kevn Kinney,,,"Kevin Kinney, known professionally as Kevn Kinney, is an American vocalist and guitarist, best known as the lead singer and guitarist of the Southern rock band Drivin N Cryin. A native of Milwaukee, Wisconsin, Kinney formed Drivin N Cryin with bassist Tim Nielsen and drummer Paul Lenz after moving to Atlanta, Georgia in 1985. Kinney and his bandmates remained a part of the Atlanta underground rock scene until the album Fly Me Courageous, and its hit single title track, brought them to a national audience on mainstream rock radio. A prolific songwriter, collaborator, and performer, Kinney has been noted for his numerous side projects throughout his career, all the while keeping Drivin N Cryin an active band. As a solo artist, he produced the 1990 folk rock album MacDougal Blues with members of R.E.M., and the 2000 album The Flower & the Knife with various members of the southern rock scene, including Warren Haynes and John Popper. Starting in 2002, he formed the project ""Sun Tangled Angel Revival"" (S.T.A.R.) to release Americana and roots rock music. The most recent Drivin N Cryin album The Great American Bubble Factory, was released in 2009. In 2012, he released an album with The Golden Palominos, a long standing musical collaborative project headed up by Anton Fier. Also in 2012, Drivin N Cryin started releasing a series of themed EPs, beginning with Songs from the Laundromat.",,Greece
7,446/UBO3784622,A sangue freddo,2009,30073,Il Teatro degli Orrori,,,,Universal Music,
8,2059210/data_sounds_http___archive_org_download_CVB2007_09_19_cvb2007_09_19t02_mp3,Circles,2007,186410,Camper Van Beethoven,,,"Camper Van Beethoven is an American alternative rock group formed in Redlands, California in 1983 and later located in Santa Cruz and San Francisco. Their eclectic and ever-evolving style mixes elements of pop, ska, punk rock, folk, alternative country, and various types of world music. The band initially polarized audiences within the hardcore punk scene of California's Inland Empire before finding wider acceptance and, eventually, an international audience. Their strong iconoclasm and emphasis on do-it-yourself values proved influential to the burgeoning indie rock movement.Released within an 18 month period, the band's first three independent records enjoyed critical success, each placing in The Village Voice's 1986 Pazz and Jop Top 100 Albums list. Their debut single, ""Take the Skinheads Bowling"", remains a college rock radio staple. The group signed to Virgin Records in 1987, released two lauded albums and enjoyed chart success with their 1989 cover of Status Quo's ""Pictures of Matchstick Men"", a number one hit on Billboard Magazine's Modern Rock Tracks. They disbanded the following year, however, due to internal tensions. Individual members found greater commercial success thereafter, with lead singer David Lowery forming Cracker, multi-instrumentalist David Immerglück joining the Counting Crows, and several other members playing in Monks of Doom. Beginning in 1999, the former members resumed their collaboration, resulting in a full-fledged reunion and several new releases.",,
9,496/MIL0881266,"Con tutta la rabbia, con tutto l'amore",2011,30073,Giorgio Gaber,1939-01-25,2003-01-01,"Giorgio Gaber, byname of Giorgio Gaberscik (25 January 1939 - 1 January 2003), was an Italian singer-songwriter, actor and playwright. He was also an accomplished guitar player and author of one of the first rock songs in Italian (""Ciao ti dirò"", 1958). Together with Sandro Luporini, he pioneered the musical genre known as teatro canzone (""song theatre"").The new underground auditorium of the Pirelli Tower in Milan is dedicated to him.",Carosello,
